Title,Genre,Language,Platform,Mood,Runtime,Rating,Description
Sniff,Mystery,hindi,JioHotstar,Action,88,8,"Witness the adventures of India's first-ever spy superhero Sunny Gill, who's out to solve mysteries with his powerful nose!"
Hum Dono,Romance,hindi,Zee,Drama,157,7,"Hum dono is the story of two look-alikes, one a small-time goon, the other a sophisticated doctor."
Happy Phirr Bhag Jayegi,Comedy,hindi,Sony,Comedy,135,7,"Happy gets kidnapped by a group of gangsters, but what happens when they realize that they got the wrong Happy?"
Ye Stupid Pyaar,Romance,hindi,ETV,Horror,106,7,"Abhishek marries an Indian girl. On their wedding night, his wife, Neha doesn't want to leave her father. Abhishek joins his Bangkok office and offers Neha that they celebrate their wedding night there. What happens when Abhishek meets his college sweetheart there?"
Aladin,Drama,hindi,Eros Now,Romantic,132,7,Aladin is a contemporary look at the classic fairy tale wherein Aladin and Genius the genie has to face the hideous Ringmaster.
Hijack,Thriller,hindi,JioHotstar,Action,122,8,"A plane is hijacked by six terrorists who demand the release of Rashid Omar, their accomplice, or else the hostages will be killed."
White,Drama,malayalam,Zee,Drama,147,9,Mamootty & Huma Quereshi are caught in an unlikely bond that stems from a dark past and a darker future.
3 Bachelors,Comedy,hindi,Sony,Comedy,114,8,This is a film about two 'young bachelors' and one 'young at heart' bachelor. It's a humorous take on their respective love stories.
Shareek,Drama,punjabi,ETV,Horror,133,6,Shareek addresses the ruthless land wars in feudal Punjab through an emotionally charged story between two families.
Lingaa,Comedy,hindi,Eros Now,Romantic,148,9,"After being turned down by the ruling Britons, the rightful heir to a famous dynasty inspires local villagers to build a dam for themselves."
Uttama Villain,Comedy,tamil,JioHotstar,Action,141,7,The story of a modern superstar overlaps with that of an eighth-century character he plays.
Buddha Mar Gaya,Comedy,hindi,Zee,Drama,96,9,"When LK dies on the night before the IPO opens, the family decides to hide the death until the shares are all sold out."
& Jara Hatke,Romance,marathi,Sony,Comedy,115,6,"A film about social norms, generation gaps, second chances and the tough choices that parents make for their children and sometimes when children have to do the same."
Dekh Tamasha Dekh,Comedy,hindi,ETV,Horror,109,8,A political satire based on a true story revolving around the search for the religious identity of a poor man crushed under the weight of a politician's hoarding.
Monchora - The Heart Stealer,Drama,bengali,Eros Now,Romantic,91,7,"A prized family heirloom is about to rip apart lives, love and faith."
Chakravyuh,Drama,hindi,JioHotstar,Action,147,7,"Chakravyuh is the story of a man who is sent to a Naxal group as an informant, who in turn begins to sympathise with them."
Rangeela,Romance,hindi,Zee,Drama,149,6,"Mili's ambition of becoming a famous actor is met with several hurdles when Raj Kamal, a noted actor, and Munna, her childhood friend, both fall in love with her."
Mai - Love Your Mother,Drama,hindi,Sony,Comedy,101,8,Mai is a story of an old desolate mother suffering from Alzheimer and is being tossed between her four children.
Challo Driver,Comedy,hindi,ETV,Horror,95,8,Story of a young construction magnate and arts graduate from Chandigarh who is looking for excitement in her career and hence becomes his chauffeur.
Omkara,Drama,hindi,Eros Now,Romantic,152,9,"In Shakespeare's masterpiece 'Othello' set in modern India, watch how a politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity."
Gandhi My Father,Drama,hindi,JioHotstar,Action,134,8,"A story of Harilal Gandhi, first son of Mohandas Gandhi. The movie portrays how Harilal's efforts fail to become a good son to his father."
Pehli Nazar Ka Pyaar,Drama,hindi,Zee,Drama,145,9,"After losing the man she loves to her cousin, a woman gets her hopes up when he is widowed."
Tere Naam,Drama,hindi,Sony,Comedy,136,9,"Tere Naam is about Radhe's (Salman Khan) troubled life. He's carefree but a short tempered boy who falls in love Nirjara (Bhumika Chawla) and starts to pursue her. However, tragedy strikes in their love story when a street fight leads to Radhe being hospitalized with severe head injuries causing amnesia. Watch Tere Naam to find out how Radhe's and Nirjara's life takes a turn after his head injury!"
Sarkar 3,Action,hindi,ETV,Horror,130,9,"Watch Sarkar rise once again, not only against the threats from the political and corporate world but also from his own grandson, Shivaji Nagre!"
Mukhtiar Chadha,Comedy,punjabi,Eros Now,Romantic,114,6,"A fun-filled comedy film about Mukhtiar Chadha who lost his father due to poverty. Thereafter, his only aim in life is to make money either by hook or crook."
Desi Boyz,Comedy,hindi,JioHotstar,Action,121,6,"Two friends lose their jobs as the global recession hits, but their worlds really turn hilariously upside-down when they become male escorts to make ends meet."
Guru - Marathi,Action,marathi,Zee,Drama,142,7,A small time conman finds himself in a soup of problems after he witnesses a murder in the city.
Phuntroo,Romance,marathi,Sony,Comedy,130,6,"Phuntroo is the tale of an engineering student who when spurned by his love, decides to build a better version of her with artificial intelligence."
Hote Hote Pyaar Ho Gaya,Romance,hindi,ETV,Horror,133,8,"A couple marries their respective partners to please their parents but fight with them, to get back with their first love."
Sanam Teri Kasam,Romance,hindi,Eros Now,Romantic,153,7,Sanam Teri Kasam is a romantic tragedy displaying the pursuit of eternal love. The movie is based on a love story between Saru & Inder. Saru is a geek who is desperately looking for a husband due to her family's pressure for marriage. Saru meets Inder who changes her life and their love story blossoms. Watch Sanam Teri Kasam to see these two characters grow together in their unusual love story.
Housefull 3,Comedy,hindi,JioHotstar,Action,134,8,Laugh to your heart's content in this comedy-drama as three men try to convince a father that they are a perfect match for his daughters!
Shuttlecock Boys,Drama,hindi,Zee,Drama,75,9,"Shuttlecock Boys revolves around the lives, successes and failures of four friends who hail from lower-middle-class backgrounds in Delhi."
Jeena Hai Toh Thok Daal,Action,hindi,Sony,Comedy,123,9,"Originating from the dark and gruesome underbelly of Bihar, Jeena Hai Toh Thok Daal is a story of the conscientious journey of four outlaws who set out to Mumbai for a mission."
Strings of Passion,Mature,hindi,ETV,Horror,95,8,"Neel, Aman and Amit are the members of the band 'Strings of Passion' but are shadowed by the influences of drugs, broken love and bad parenting."
Pyari Behna,Drama,hindi,Eros Now,Romantic,136,7,Pyari Behna explores the camaraderie between siblings and how one accident changes their lives forever.
